Title;Genre;Language;Summary;Link
WeatherSpy;Nature & Travel;EN;Explore our unpredictable planet through the exhilaration and impact of natural forces. Featuring unbelievable weather, wild-life, and outdoor recreation.;https://watch.plex.tv/live-tv/channel/weatherspy-2
Yu-Gi-Oh!;Kids & Family, Anime & Gaming;EN;Yu-Gi-Oh! An actioned packed channel dedicated to one of the greatest Anime-franchises of all times.;https://watch.plex.tv/live-tv/channel/yu-gi-oh-3
Washington Post Television;News;EN;Your source for coverage of the world’s biggest stories and in-depth interviews with today’s biggest newsmakers.;https://watch.plex.tv/live-tv/channel/washington-post-television
Nolly Africa HD;Black Entertainment;EN;Nolly Africa HD is a 24-hour premium Nollywood channel, showing Nollywood movies, series, talk shows and all things Nollywood.;https://watch.plex.tv/live-tv/channel/nolly-africa-hd
Bloomberg TV;News;EN;Bloomberg Television offers global business and markets news, data, analysis, and stories from Bloomberg News and Business week.;https://watch.plex.tv/live-tv/channel/bloomberg-tv-2
Newsmax TV;News;EN;Newsmax TV is a leading news network with reporting from DC and New York focusing on politics, health, money, and documentaries.;https://watch.plex.tv/live-tv/channel/newsmax-tv
FashionTV;Lifestyle;EN;Global Fashion & Lifestyle News! Major fashion weeks & campaigns, celebs' events, and hottest trends by top models & designers.;https://watch.plex.tv/live-tv/channel/fashiontv
WITZ-Comedy TV;Comedy;EN;"WITZ-Comedy TV features original network series and shows produced from WITZ's NYC studios, curated stand-up specials from the world's top comics, and other unique programming. ""We're All Laughing Here!""";https://watch.plex.tv/live-tv/channel/witz-comedy-tv
Ideas En 5 Minutos;En Español;ES;La marca digital de manualidades más vista, con truyos que ofrecen una variedad de soluciones divertidas a problemas cotidianos.;https://watch.plex.tv/live-tv/channel/ideas-en-5-minutos
ACL Cornhole TV;Sports;EN;ACL Cornhole TV is the ultimate destination for fans of Cornhole.;https://watch.plex.tv/live-tv/channel/acl-cornhole-tv-2
The Ed Sullivan Show;Classic TV;EN;For 23 years, Americans spent Sunday nights with Ed Sullivan. Now you can flashback to the best acts from the really big show.;https://watch.plex.tv/live-tv/channel/the-ed-sullivan-show
FUEL TV;Sports;EN;The global home of action sports and youth culture. Skate | Surf | BMX | Snow | MTB | Wakeboard;https://watch.plex.tv/live-tv/channel/fuel-tv-3
Robot Wars by Mech+;History & Science;EN;Innovation. Community. Entertainment.The new home of science, robotics and engineering.;https://watch.plex.tv/live-tv/channel/robot-wars-by-mech
Just For Laughs Gags;Comedy;EN;Just for laughs Gags is where unsuspecting people get roped into hilarious situations, concocted by a team of professional pranksters.;https://watch.plex.tv/live-tv/channel/just-for-laughs-gags
Comedy Dynamics;Comedy;EN;The largest collection of stand-up comedy! It’s a no drink minimum show 24/7, with the top names of comedy in new & classic performances.;https://watch.plex.tv/live-tv/channel/comedy-dynamics
Pac-12 Insider;Sports;EN;Pac-12 Insider brings you FREE live events, original shows and classic games from the Conference of Champions!;https://watch.plex.tv/live-tv/channel/pac-12-insider
MyTime Movie Network;Movies;EN;MyTime is a free streaming channel dedicated to celebrating and entertaining women by offering female-led content.;https://watch.plex.tv/live-tv/channel/mytime-movie-network-5
